,buying_price,maintenance_cost,doors,persons_capacity,luggage_boot,safety
841,2.0,0.0,3.0,0.0,1.0,1.0
1660,0.0,0.0,1.0,1.0,1.0,1.0
791,2.0,0.0,1.0,0.0,2.0,2.0
1289,1.0,0.0,3.0,2.0,0.0,2.0
9,3.0,3.0,0.0,1.0,0.0,0.0
434,2.0,3.0,0.0,0.0,0.0,2.0
1036,1.0,2.0,2.0,1.0,0.0,1.0
566,2.0,2.0,0.0,2.0,2.0,2.0
410,3.0,0.0,3.0,0.0,1.0,2.0
684,2.0,1.0,1.0,1.0,0.0,0.0
741,2.0,1.0,3.0,1.0,1.0,0.0
710,2.0,1.0,2.0,0.0,2.0,2.0
1134,1.0,1.0,2.0,0.0,0.0,0.0
752,2.0,1.0,3.0,2.0,1.0,2.0
963,1.0,3.0,3.0,2.0,0.0,0.0
1089,1.0,1.0,0.0,1.0,0.0,0.0
909,1.0,3.0,1.0,2.0,0.0,0.0
399,3.0,0.0,2.0,2.0,1.0,0.0
1650,0.0,0.0,1.0,0.0,1.0,0.0
659,2.0,1.0,0.0,1.0,0.0,2.0
1168,1.0,1.0,3.0,0.0,2.0,1.0
1690,0.0,0.0,2.0,1.0,2.0,1.0
1671,0.0,0.0,1.0,2.0,2.0,0.0
910,1.0,3.0,1.0,2.0,0.0,1.0
1436,0.0,2.0,1.0,0.0,1.0,2.0
352,3.0,0.0,1.0,0.0,0.0,1.0
813,2.0,0.0,2.0,0.0,1.0,0.0
398,3.0,0.0,2.0,2.0,0.0,2.0
1596,0.0,1.0,3.0,0.0,1.0,0.0
532,2.0,3.0,3.0,2.0,0.0,1.0
1664,0.0,0.0,1.0,1.0,2.0,2.0
1536,0.0,1.0,0.0,2.0,2.0,0.0
1068,1.0,2.0,3.0,1.0,2.0,0.0
17,3.0,3.0,0.0,1.0,2.0,2.0
1394,0.0,3.0,3.0,1.0,2.0,2.0
1047,1.0,2.0,2.0,2.0,1.0,0.0
1211,1.0,0.0,0.0,2.0,1.0,2.0
1242,1.0,0.0,2.0,0.0,0.0,0.0
1547,0.0,1.0,1.0,0.0,2.0,2.0
914,1.0,3.0,1.0,2.0,1.0,2.0
1145,1.0,1.0,2.0,1.0,0.0,2.0
186,3.0,2.0,2.0,2.0,2.0,0.0
1236,1.0,0.0,1.0,2.0,1.0,0.0
1479,0.0,2.0,2.0,2.0,1.0,0.0
928,1.0,3.0,2.0,1.0,0.0,1.0
94,3.0,3.0,3.0,1.0,1.0,1.0
1251,1.0,0.0,2.0,1.0,0.0,0.0
1405,0.0,2.0,0.0,0.0,0.0,1.0
287,3.0,1.0,2.0,1.0,2.0,2.0
317,3.0,1.0,3.0,2.0,0.0,2.0
863,2.0,0.0,3.0,2.0,2.0,2.0
1148,1.0,1.0,2.0,1.0,1.0,2.0
723,2.0,1.0,2.0,2.0,1.0,0.0
1307,0.0,3.0,0.0,1.0,0.0,2.0
967,1.0,3.0,3.0,2.0,1.0,1.0
335,3.0,0.0,0.0,1.0,0.0,2.0
845,2.0,0.0,3.0,0.0,2.0,2.0
1261,1.0,0.0,2.0,2.0,0.0,1.0
1027,1.0,2.0,2.0,0.0,0.0,1.0
1053,1.0,2.0,3.0,0.0,0.0,0.0
1617,0.0,1.0,3.0,2.0,2.0,0.0
906,1.0,3.0,1.0,1.0,2.0,0.0
683,2.0,1.0,1.0,0.0,2.0,2.0
1153,1.0,1.0,2.0,2.0,0.0,1.0
642,2.0,2.0,3.0,2.0,1.0,0.0
691,2.0,1.0,1.0,1.0,2.0,1.0
1249,1.0,0.0,2.0,0.0,2.0,1.0
301,3.0,1.0,3.0,0.0,1.0,1.0
784,2.0,0.0,1.0,0.0,0.0,1.0
1612,0.0,1.0,3.0,2.0,0.0,1.0
542,2.0,2.0,0.0,0.0,0.0,2.0
1583,0.0,1.0,2.0,1.0,2.0,2.0
1227,1.0,0.0,1.0,1.0,1.0,0.0
1196,1.0,0.0,0.0,0.0,2.0,2.0
42,3.0,3.0,1.0,1.0,2.0,0.0
901,1.0,3.0,1.0,1.0,0.0,1.0
1233,1.0,0.0,1.0,2.0,0.0,0.0
491,2.0,3.0,2.0,0.0,1.0,2.0
1178,1.0,1.0,3.0,1.0,2.0,2.0
338,3.0,0.0,0.0,1.0,1.0,2.0
127,3.0,2.0,0.0,2.0,0.0,1.0
458,2.0,3.0,0.0,2.0,2.0,2.0
483,2.0,3.0,1.0,2.0,2.0,0.0
256,3.0,1.0,1.0,1.0,1.0,1.0
1299,0.0,3.0,0.0,0.0,1.0,0.0
35,3.0,3.0,1.0,0.0,2.0,2.0
823,2.0,0.0,2.0,1.0,1.0,1.0
498,2.0,3.0,2.0,1.0,1.0,0.0
1451,0.0,2.0,1.0,2.0,0.0,2.0
594,2.0,2.0,2.0,0.0,0.0,0.0
1212,1.0,0.0,0.0,2.0,2.0,0.0
927,1.0,3.0,2.0,1.0,0.0,0.0
174,3.0,2.0,2.0,1.0,1.0,0.0
1187,1.0,1.0,3.0,2.0,2.0,2.0
360,3.0,0.0,1.0,1.0,0.0,0.0
1493,0.0,2.0,3.0,0.0,2.0,2.0
1159,1.0,1.0,2.0,2.0,2.0,1.0
1314,0.0,3.0,0.0,2.0,0.0,0.0
1395,0.0,3.0,3.0,2.0,0.0,0.0
1007,1.0,2.0,1.0,0.0,2.0,2.0
1374,0.0,3.0,2.0,2.0,2.0,0.0
1456,0.0,2.0,1.0,2.0,2.0,1.0
1632,0.0,0.0,0.0,1.0,1.0,0.0
430,3.0,0.0,3.0,2.0,2.0,1.0
1669,0.0,0.0,1.0,2.0,1.0,1.0
1511,0.0,2.0,3.0,2.0,2.0,2.0
763,2.0,0.0,0.0,0.0,2.0,1.0
416,3.0,0.0,3.0,1.0,0.0,2.0
242,3.0,1.0,0.0,2.0,2.0,2.0
871,1.0,3.0,0.0,0.0,2.0,1.0
494,2.0,3.0,2.0,0.0,2.0,2.0
560,2.0,2.0,0.0,2.0,0.0,2.0
1237,1.0,0.0,1.0,2.0,1.0,1.0
1323,0.0,3.0,1.0,0.0,0.0,0.0
451,2.0,3.0,0.0,2.0,0.0,1.0
1376,0.0,3.0,2.0,2.0,2.0,2.0
836,2.0,0.0,2.0,2.0,2.0,2.0
1147,1.0,1.0,2.0,1.0,1.0,1.0
890,1.0,3.0,0.0,2.0,2.0,2.0
733,2.0,1.0,3.0,0.0,1.0,1.0
1162,1.0,1.0,3.0,0.0,0.0,1.0
1501,0.0,2.0,3.0,1.0,2.0,1.0
1442,0.0,2.0,1.0,1.0,0.0,2.0
214,3.0,2.0,3.0,2.0,2.0,1.0
1400,0.0,3.0,3.0,2.0,1.0,2.0
1361,0.0,3.0,2.0,1.0,0.0,2.0
269,3.0,1.0,1.0,2.0,2.0,2.0
815,2.0,0.0,2.0,0.0,1.0,2.0
620,2.0,2.0,2.0,2.0,2.0,2.0
1291,1.0,0.0,3.0,2.0,1.0,1.0
1344,0.0,3.0,1.0,2.0,1.0,0.0
1513,0.0,1.0,0.0,0.0,0.0,1.0
240,3.0,1.0,0.0,2.0,2.0,0.0
1579,0.0,1.0,2.0,1.0,1.0,1.0
754,2.0,1.0,3.0,2.0,2.0,1.0
1546,0.0,1.0,1.0,0.0,2.0,1.0
320,3.0,1.0,3.0,2.0,1.0,2.0
1457,0.0,2.0,1.0,2.0,2.0,2.0
885,1.0,3.0,0.0,2.0,1.0,0.0
586,2.0,2.0,1.0,2.0,0.0,1.0
1390,0.0,3.0,3.0,1.0,1.0,1.0
1589,0.0,1.0,2.0,2.0,1.0,2.0
1566,0.0,1.0,2.0,0.0,0.0,0.0
1060,1.0,2.0,3.0,0.0,2.0,1.0
1223,1.0,0.0,1.0,0.0,2.0,2.0
1026,1.0,2.0,2.0,0.0,0.0,0.0
423,3.0,0.0,3.0,2.0,0.0,0.0
1099,1.0,1.0,0.0,2.0,0.0,1.0
1656,0.0,0.0,1.0,1.0,0.0,0.0
315,3.0,1.0,3.0,2.0,0.0,0.0
1377,0.0,3.0,3.0,0.0,0.0,0.0
57,3.0,3.0,2.0,0.0,1.0,0.0
1123,1.0,1.0,1.0,1.0,2.0,1.0
553,2.0,2.0,0.0,1.0,1.0,1.0
555,2.0,2.0,0.0,1.0,2.0,0.0
689,2.0,1.0,1.0,1.0,1.0,2.0
8,3.0,3.0,0.0,0.0,2.0,2.0
1288,1.0,0.0,3.0,2.0,0.0,1.0
183,3.0,2.0,2.0,2.0,1.0,0.0
467,2.0,3.0,1.0,0.0,2.0,2.0
1693,0.0,0.0,2.0,2.0,0.0,1.0
769,2.0,0.0,0.0,1.0,1.0,1.0
983,1.0,2.0,0.0,1.0,0.0,2.0
1674,0.0,0.0,2.0,0.0,0.0,0.0
348,3.0,0.0,0.0,2.0,2.0,0.0
1141,1.0,1.0,2.0,0.0,2.0,1.0
25,3.0,3.0,0.0,2.0,2.0,1.0
1022,1.0,2.0,1.0,2.0,1.0,2.0
1619,0.0,1.0,3.0,2.0,2.0,2.0
587,2.0,2.0,1.0,2.0,0.0,2.0
1543,0.0,1.0,1.0,0.0,1.0,1.0
924,1.0,3.0,2.0,0.0,2.0,0.0
536,2.0,3.0,3.0,2.0,1.0,2.0
1414,0.0,2.0,0.0,1.0,0.0,1.0
701,2.0,1.0,1.0,2.0,2.0,2.0
1481,0.0,2.0,2.0,2.0,1.0,2.0
123,3.0,2.0,0.0,1.0,2.0,0.0
604,2.0,2.0,2.0,1.0,0.0,1.0
1151,1.0,1.0,2.0,1.0,2.0,2.0
1379,0.0,3.0,3.0,0.0,0.0,2.0
1270,1.0,0.0,3.0,0.0,0.0,1.0
1616,0.0,1.0,3.0,2.0,1.0,2.0
1176,1.0,1.0,3.0,1.0,2.0,0.0
189,3.0,2.0,3.0,0.0,0.0,0.0
1641,0.0,0.0,0.0,2.0,1.0,0.0
200,3.0,2.0,3.0,1.0,0.0,2.0
357,3.0,0.0,1.0,0.0,2.0,0.0
191,3.0,2.0,3.0,0.0,0.0,2.0
1505,0.0,2.0,3.0,2.0,0.0,2.0
225,3.0,1.0,0.0,1.0,0.0,0.0
484,2.0,3.0,1.0,2.0,2.0,1.0
405,3.0,0.0,3.0,0.0,0.0,0.0
673,2.0,1.0,0.0,2.0,2.0,1.0
361,3.0,0.0,1.0,1.0,0.0,1.0
107,3.0,3.0,3.0,2.0,2.0,2.0
1502,0.0,2.0,3.0,1.0,2.0,2.0
866,1.0,3.0,0.0,0.0,0.0,2.0
945,1.0,3.0,3.0,0.0,0.0,0.0
239,3.0,1.0,0.0,2.0,1.0,2.0
248,3.0,1.0,1.0,0.0,1.0,2.0
988,1.0,2.0,0.0,1.0,2.0,1.0
948,1.0,3.0,3.0,0.0,1.0,0.0
196,3.0,2.0,3.0,0.0,2.0,1.0
1262,1.0,0.0,2.0,2.0,0.0,2.0
930,1.0,3.0,2.0,1.0,1.0,0.0
1572,0.0,1.0,2.0,0.0,2.0,0.0
1686,0.0,0.0,2.0,1.0,1.0,0.0
70,3.0,3.0,2.0,1.0,2.0,1.0
977,1.0,2.0,0.0,0.0,1.0,2.0
1340,0.0,3.0,1.0,1.0,2.0,2.0
1110,1.0,1.0,1.0,0.0,1.0,0.0
1458,0.0,2.0,2.0,0.0,0.0,0.0
480,2.0,3.0,1.0,2.0,1.0,0.0
1476,0.0,2.0,2.0,2.0,0.0,0.0
1667,0.0,0.0,1.0,2.0,0.0,2.0
937,1.0,3.0,2.0,2.0,0.0,1.0
850,2.0,0.0,3.0,1.0,1.0,1.0
767,2.0,0.0,0.0,1.0,0.0,2.0
296,3.0,1.0,2.0,2.0,2.0,2.0
1437,0.0,2.0,1.0,0.0,2.0,0.0
978,1.0,2.0,0.0,0.0,2.0,0.0
1647,0.0,0.0,1.0,0.0,0.0,0.0
109,3.0,2.0,0.0,0.0,0.0,1.0
1049,1.0,2.0,2.0,2.0,1.0,2.0
596,2.0,2.0,2.0,0.0,0.0,2.0
171,3.0,2.0,2.0,1.0,0.0,0.0
1710,0.0,0.0,3.0,1.0,0.0,0.0
1386,0.0,3.0,3.0,1.0,0.0,0.0
1085,1.0,1.0,0.0,0.0,1.0,2.0
1609,0.0,1.0,3.0,1.0,2.0,1.0
351,3.0,0.0,1.0,0.0,0.0,0.0
1649,0.0,0.0,1.0,0.0,0.0,2.0
1154,1.0,1.0,2.0,2.0,0.0,2.0
1699,0.0,0.0,2.0,2.0,2.0,1.0
321,3.0,1.0,3.0,2.0,2.0,0.0
1252,1.0,0.0,2.0,1.0,0.0,1.0
365,3.0,0.0,1.0,1.0,1.0,2.0
1083,1.0,1.0,0.0,0.0,1.0,0.0
43,3.0,3.0,1.0,1.0,2.0,1.0
1353,0.0,3.0,2.0,0.0,1.0,0.0
336,3.0,0.0,0.0,1.0,1.0,0.0
1695,0.0,0.0,2.0,2.0,1.0,0.0
1364,0.0,3.0,2.0,1.0,1.0,2.0
994,1.0,2.0,0.0,2.0,1.0,1.0
628,2.0,2.0,3.0,0.0,2.0,1.0
1357,0.0,3.0,2.0,0.0,2.0,1.0
1045,1.0,2.0,2.0,2.0,0.0,1.0
1488,0.0,2.0,3.0,0.0,1.0,0.0
750,2.0,1.0,3.0,2.0,1.0,0.0
374,3.0,0.0,1.0,2.0,1.0,2.0
669,2.0,1.0,0.0,2.0,1.0,0.0
427,3.0,0.0,3.0,2.0,1.0,1.0
1343,0.0,3.0,1.0,2.0,0.0,2.0
1403,0.0,3.0,3.0,2.0,2.0,2.0
420,3.0,0.0,3.0,1.0,2.0,0.0
970,1.0,3.0,3.0,2.0,2.0,1.0
111,3.0,2.0,0.0,0.0,1.0,0.0
1325,0.0,3.0,1.0,0.0,0.0,2.0
353,3.0,0.0,1.0,0.0,0.0,2.0
1173,1.0,1.0,3.0,1.0,1.0,0.0
1454,0.0,2.0,1.0,2.0,1.0,2.0
801,2.0,0.0,1.0,2.0,0.0,0.0
809,2.0,0.0,1.0,2.0,2.0,2.0
637,2.0,2.0,3.0,1.0,2.0,1.0
1171,1.0,1.0,3.0,1.0,0.0,1.0
1259,1.0,0.0,2.0,1.0,2.0,2.0
403,3.0,0.0,2.0,2.0,2.0,1.0
1428,0.0,2.0,0.0,2.0,2.0,0.0
1112,1.0,1.0,1.0,0.0,1.0,2.0
1216,1.0,0.0,1.0,0.0,0.0,1.0
819,2.0,0.0,2.0,1.0,0.0,0.0
438,2.0,3.0,0.0,0.0,2.0,0.0
677,2.0,1.0,1.0,0.0,0.0,2.0
680,2.0,1.0,1.0,0.0,1.0,2.0
1490,0.0,2.0,3.0,0.0,1.0,2.0
584,2.0,2.0,1.0,1.0,2.0,2.0
1107,1.0,1.0,1.0,0.0,0.0,0.0
530,2.0,3.0,3.0,1.0,2.0,2.0
1544,0.0,1.0,1.0,0.0,1.0,2.0
1541,0.0,1.0,1.0,0.0,0.0,2.0
474,2.0,3.0,1.0,1.0,2.0,0.0
1366,0.0,3.0,2.0,1.0,2.0,1.0
422,3.0,0.0,3.0,1.0,2.0,2.0
324,3.0,0.0,0.0,0.0,0.0,0.0
167,3.0,2.0,2.0,0.0,1.0,2.0
619,2.0,2.0,2.0,2.0,2.0,1.0
585,2.0,2.0,1.0,2.0,0.0,0.0
1494,0.0,2.0,3.0,1.0,0.0,0.0
65,3.0,3.0,2.0,1.0,0.0,2.0
1385,0.0,3.0,3.0,0.0,2.0,2.0
1208,1.0,0.0,0.0,2.0,0.0,2.0
1563,0.0,1.0,1.0,2.0,2.0,0.0
364,3.0,0.0,1.0,1.0,1.0,1.0
124,3.0,2.0,0.0,1.0,2.0,1.0
658,2.0,1.0,0.0,1.0,0.0,1.0
1185,1.0,1.0,3.0,2.0,2.0,0.0
396,3.0,0.0,2.0,2.0,0.0,0.0
1355,0.0,3.0,2.0,0.0,1.0,2.0
197,3.0,2.0,3.0,0.0,2.0,2.0
1265,1.0,0.0,2.0,2.0,1.0,2.0
797,2.0,0.0,1.0,1.0,1.0,2.0
1545,0.0,1.0,1.0,0.0,2.0,0.0
245,3.0,1.0,1.0,0.0,0.0,2.0
805,2.0,0.0,1.0,2.0,1.0,1.0
82,3.0,3.0,3.0,0.0,0.0,1.0
1329,0.0,3.0,1.0,0.0,2.0,0.0
1198,1.0,0.0,0.0,1.0,0.0,1.0
1321,0.0,3.0,0.0,2.0,2.0,1.0
828,2.0,0.0,2.0,2.0,0.0,0.0
1577,0.0,1.0,2.0,1.0,0.0,2.0
1082,1.0,1.0,0.0,0.0,0.0,2.0
1666,0.0,0.0,1.0,2.0,0.0,1.0
861,2.0,0.0,3.0,2.0,2.0,0.0
947,1.0,3.0,3.0,0.0,0.0,2.0
1599,0.0,1.0,3.0,0.0,2.0,0.0
621,2.0,2.0,3.0,0.0,0.0,0.0
1620,0.0,0.0,0.0,0.0,0.0,0.0
154,3.0,2.0,1.0,2.0,0.0,1.0
69,3.0,3.0,2.0,1.0,2.0,0.0
19,3.0,3.0,0.0,2.0,0.0,1.0
492,2.0,3.0,2.0,0.0,2.0,0.0
1186,1.0,1.0,3.0,2.0,2.0,1.0
1283,1.0,0.0,3.0,1.0,1.0,2.0
1350,0.0,3.0,2.0,0.0,0.0,0.0
742,2.0,1.0,3.0,1.0,1.0,1.0
1723,0.0,0.0,3.0,2.0,1.0,1.0
305,3.0,1.0,3.0,0.0,2.0,2.0
473,2.0,3.0,1.0,1.0,1.0,2.0
728,2.0,1.0,2.0,2.0,2.0,2.0
1144,1.0,1.0,2.0,1.0,0.0,1.0
1584,0.0,1.0,2.0,2.0,0.0,0.0
1070,1.0,2.0,3.0,1.0,2.0,2.0
1393,0.0,3.0,3.0,1.0,2.0,1.0
237,3.0,1.0,0.0,2.0,1.0,0.0
1634,0.0,0.0,0.0,1.0,1.0,2.0
982,1.0,2.0,0.0,1.0,0.0,1.0
1406,0.0,2.0,0.0,0.0,0.0,2.0
1378,0.0,3.0,3.0,0.0,0.0,1.0
68,3.0,3.0,2.0,1.0,1.0,2.0
534,2.0,3.0,3.0,2.0,1.0,0.0
229,3.0,1.0,0.0,1.0,1.0,1.0
1449,0.0,2.0,1.0,2.0,0.0,0.0
973,1.0,2.0,0.0,0.0,0.0,1.0
112,3.0,2.0,0.0,0.0,1.0,1.0
1132,1.0,1.0,1.0,2.0,2.0,1.0
86,3.0,3.0,3.0,0.0,1.0,2.0
1161,1.0,1.0,3.0,0.0,0.0,0.0
744,2.0,1.0,3.0,1.0,2.0,0.0
44,3.0,3.0,1.0,1.0,2.0,2.0
222,3.0,1.0,0.0,0.0,2.0,0.0
205,3.0,2.0,3.0,1.0,2.0,1.0
839,2.0,0.0,3.0,0.0,0.0,2.0
1408,0.0,2.0,0.0,0.0,1.0,1.0
599,2.0,2.0,2.0,0.0,1.0,2.0
1195,1.0,0.0,0.0,0.0,2.0,1.0
155,3.0,2.0,1.0,2.0,0.0,2.0
293,3.0,1.0,2.0,2.0,1.0,2.0
1034,1.0,2.0,2.0,0.0,2.0,2.0
1429,0.0,2.0,0.0,2.0,2.0,1.0
1281,1.0,0.0,3.0,1.0,1.0,0.0
657,2.0,1.0,0.0,1.0,0.0,0.0
714,2.0,1.0,2.0,1.0,1.0,0.0
527,2.0,3.0,3.0,1.0,1.0,2.0
1071,1.0,2.0,3.0,2.0,0.0,0.0
1389,0.0,3.0,3.0,1.0,1.0,0.0
1645,0.0,0.0,0.0,2.0,2.0,1.0
1136,1.0,1.0,2.0,0.0,0.0,2.0
249,3.0,1.0,1.0,0.0,2.0,0.0
1413,0.0,2.0,0.0,1.0,0.0,0.0
150,3.0,2.0,1.0,1.0,2.0,0.0
1306,0.0,3.0,0.0,1.0,0.0,1.0
1370,0.0,3.0,2.0,2.0,0.0,2.0
1113,1.0,1.0,1.0,0.0,2.0,0.0
168,3.0,2.0,2.0,0.0,2.0,0.0
1203,1.0,0.0,0.0,1.0,2.0,0.0
1439,0.0,2.0,1.0,0.0,2.0,2.0
156,3.0,2.0,1.0,2.0,1.0,0.0
1263,1.0,0.0,2.0,2.0,1.0,0.0
1118,1.0,1.0,1.0,1.0,0.0,2.0
1222,1.0,0.0,1.0,0.0,2.0,1.0
1348,0.0,3.0,1.0,2.0,2.0,1.0
593,2.0,2.0,1.0,2.0,2.0,2.0
1471,0.0,2.0,2.0,1.0,1.0,1.0
810,2.0,0.0,2.0,0.0,0.0,0.0
895,1.0,3.0,1.0,0.0,1.0,1.0
1286,1.0,0.0,3.0,1.0,2.0,2.0
1200,1.0,0.0,0.0,1.0,1.0,0.0
346,3.0,0.0,0.0,2.0,1.0,1.0
735,2.0,1.0,3.0,0.0,2.0,0.0
995,1.0,2.0,0.0,2.0,1.0,2.0
581,2.0,2.0,1.0,1.0,1.0,2.0
822,2.0,0.0,2.0,1.0,1.0,0.0
355,3.0,0.0,1.0,0.0,1.0,1.0
1373,0.0,3.0,2.0,2.0,1.0,2.0
1720,0.0,0.0,3.0,2.0,0.0,1.0
533,2.0,3.0,3.0,2.0,0.0,2.0
832,2.0,0.0,2.0,2.0,1.0,1.0
1103,1.0,1.0,0.0,2.0,1.0,2.0
482,2.0,3.0,1.0,2.0,1.0,2.0
503,2.0,3.0,2.0,1.0,2.0,2.0
875,1.0,3.0,0.0,1.0,0.0,2.0
1658,0.0,0.0,1.0,1.0,0.0,2.0
367,3.0,0.0,1.0,1.0,2.0,1.0
1304,0.0,3.0,0.0,0.0,2.0,2.0
1422,0.0,2.0,0.0,2.0,0.0,0.0
1072,1.0,2.0,3.0,2.0,0.0,1.0
950,1.0,3.0,3.0,0.0,1.0,2.0
703,2.0,1.0,2.0,0.0,0.0,1.0
1622,0.0,0.0,0.0,0.0,0.0,2.0
661,2.0,1.0,0.0,1.0,1.0,1.0
1607,0.0,1.0,3.0,1.0,1.0,2.0
119,3.0,2.0,0.0,1.0,0.0,2.0
685,2.0,1.0,1.0,1.0,0.0,1.0
11,3.0,3.0,0.0,1.0,0.0,2.0
1581,0.0,1.0,2.0,1.0,2.0,0.0
724,2.0,1.0,2.0,2.0,1.0,1.0
1228,1.0,0.0,1.0,1.0,1.0,1.0
1460,0.0,2.0,2.0,0.0,0.0,2.0
34,3.0,3.0,1.0,0.0,2.0,1.0
1029,1.0,2.0,2.0,0.0,1.0,0.0
445,2.0,3.0,0.0,1.0,1.0,1.0
118,3.0,2.0,0.0,1.0,0.0,1.0
1727,0.0,0.0,3.0,2.0,2.0,2.0
1075,1.0,2.0,3.0,2.0,1.0,1.0
592,2.0,2.0,1.0,2.0,2.0,1.0
567,2.0,2.0,1.0,0.0,0.0,0.0
962,1.0,3.0,3.0,1.0,2.0,2.0
692,2.0,1.0,1.0,1.0,2.0,2.0
540,2.0,2.0,0.0,0.0,0.0,0.0
989,1.0,2.0,0.0,1.0,2.0,2.0
212,3.0,2.0,3.0,2.0,1.0,2.0
1685,0.0,0.0,2.0,1.0,0.0,2.0
1423,0.0,2.0,0.0,2.0,0.0,1.0
849,2.0,0.0,3.0,1.0,1.0,0.0
1297,0.0,3.0,0.0,0.0,0.0,1.0
1206,1.0,0.0,0.0,2.0,0.0,0.0
1264,1.0,0.0,2.0,2.0,1.0,1.0
1629,0.0,0.0,0.0,1.0,0.0,0.0
286,3.0,1.0,2.0,1.0,2.0,1.0
448,2.0,3.0,0.0,1.0,2.0,1.0
209,3.0,2.0,3.0,2.0,0.0,2.0
1210,1.0,0.0,0.0,2.0,1.0,1.0
366,3.0,0.0,1.0,1.0,2.0,0.0
465,2.0,3.0,1.0,0.0,2.0,0.0
505,2.0,3.0,2.0,2.0,0.0,1.0
471,2.0,3.0,1.0,1.0,1.0,0.0
1535,0.0,1.0,0.0,2.0,1.0,2.0
1595,0.0,1.0,3.0,0.0,0.0,2.0
2,3.0,3.0,0.0,0.0,0.0,2.0
1549,0.0,1.0,1.0,1.0,0.0,1.0
583,2.0,2.0,1.0,1.0,2.0,1.0
824,2.0,0.0,2.0,1.0,1.0,2.0
90,3.0,3.0,3.0,1.0,0.0,0.0
424,3.0,0.0,3.0,2.0,0.0,1.0
84,3.0,3.0,3.0,0.0,1.0,0.0
190,3.0,2.0,3.0,0.0,0.0,1.0
442,2.0,3.0,0.0,1.0,0.0,1.0
1430,0.0,2.0,0.0,2.0,2.0,2.0
1073,1.0,2.0,3.0,2.0,0.0,2.0
1205,1.0,0.0,0.0,1.0,2.0,2.0
897,1.0,3.0,1.0,0.0,2.0,0.0
1232,1.0,0.0,1.0,1.0,2.0,2.0
516,2.0,3.0,3.0,0.0,1.0,0.0
31,3.0,3.0,1.0,0.0,1.0,1.0
1258,1.0,0.0,2.0,1.0,2.0,1.0
323,3.0,1.0,3.0,2.0,2.0,2.0
611,2.0,2.0,2.0,1.0,2.0,2.0
1084,1.0,1.0,0.0,0.0,1.0,1.0
220,3.0,1.0,0.0,0.0,1.0,1.0
27,3.0,3.0,1.0,0.0,0.0,0.0
457,2.0,3.0,0.0,2.0,2.0,1.0
1529,0.0,1.0,0.0,1.0,2.0,2.0
851,2.0,0.0,3.0,1.0,1.0,2.0
1585,0.0,1.0,2.0,2.0,0.0,1.0
139,3.0,2.0,1.0,0.0,1.0,1.0
251,3.0,1.0,1.0,0.0,2.0,2.0
1498,0.0,2.0,3.0,1.0,1.0,1.0
208,3.0,2.0,3.0,2.0,0.0,1.0
743,2.0,1.0,3.0,1.0,1.0,2.0
435,2.0,3.0,0.0,0.0,1.0,0.0
1567,0.0,1.0,2.0,0.0,0.0,1.0
1604,0.0,1.0,3.0,1.0,0.0,2.0
1055,1.0,2.0,3.0,0.0,0.0,2.0
1682,0.0,0.0,2.0,0.0,2.0,2.0
1125,1.0,1.0,1.0,2.0,0.0,0.0
1472,0.0,2.0,2.0,1.0,1.0,2.0
1725,0.0,0.0,3.0,2.0,2.0,0.0
288,3.0,1.0,2.0,2.0,0.0,0.0
476,2.0,3.0,1.0,1.0,2.0,2.0
1398,0.0,3.0,3.0,2.0,1.0,0.0
951,1.0,3.0,3.0,0.0,2.0,0.0
291,3.0,1.0,2.0,2.0,1.0,0.0
1165,1.0,1.0,3.0,0.0,1.0,1.0
711,2.0,1.0,2.0,1.0,0.0,0.0
499,2.0,3.0,2.0,1.0,1.0,1.0
1672,0.0,0.0,1.0,2.0,2.0,1.0
16,3.0,3.0,0.0,1.0,2.0,1.0
1721,0.0,0.0,3.0,2.0,0.0,2.0
192,3.0,2.0,3.0,0.0,1.0,0.0
1326,0.0,3.0,1.0,0.0,1.0,0.0
1497,0.0,2.0,3.0,1.0,1.0,0.0
436,2.0,3.0,0.0,0.0,1.0,1.0
1701,0.0,0.0,3.0,0.0,0.0,0.0
699,2.0,1.0,1.0,2.0,2.0,0.0
626,2.0,2.0,3.0,0.0,1.0,2.0
5,3.0,3.0,0.0,0.0,1.0,2.0
80,3.0,3.0,2.0,2.0,2.0,2.0
984,1.0,2.0,0.0,1.0,1.0,0.0
394,3.0,0.0,2.0,1.0,2.0,1.0
1351,0.0,3.0,2.0,0.0,0.0,1.0
738,2.0,1.0,3.0,1.0,0.0,0.0
777,2.0,0.0,0.0,2.0,1.0,0.0
880,1.0,3.0,0.0,1.0,2.0,1.0
1358,0.0,3.0,2.0,0.0,2.0,2.0
833,2.0,0.0,2.0,2.0,1.0,2.0
372,3.0,0.0,1.0,2.0,1.0,0.0
526,2.0,3.0,3.0,1.0,1.0,1.0
1452,0.0,2.0,1.0,2.0,1.0,0.0
460,2.0,3.0,1.0,0.0,0.0,1.0
326,3.0,0.0,0.0,0.0,0.0,2.0
356,3.0,0.0,1.0,0.0,1.0,2.0
1670,0.0,0.0,1.0,2.0,1.0,2.0
390,3.0,0.0,2.0,1.0,1.0,0.0
522,2.0,3.0,3.0,1.0,0.0,0.0
1317,0.0,3.0,0.0,2.0,1.0,0.0
349,3.0,0.0,0.0,2.0,2.0,1.0
419,3.0,0.0,3.0,1.0,1.0,2.0
