,income
3562,<=50K
27238,<=50K
27042,>50K
3055,<=50K
15090,<=50K
3206,<=50K
6941,<=50K
8219,<=50K
26025,<=50K
30179,<=50K
18244,<=50K
24922,<=50K
13781,<=50K
13712,<=50K
19439,>50K
11466,<=50K
16128,<=50K
28741,<=50K
25929,<=50K
17882,<=50K
1037,<=50K
16623,<=50K
11197,<=50K
6642,<=50K
113,<=50K
29268,>50K
4228,<=50K
14742,<=50K
8762,<=50K
11864,>50K
4698,<=50K
12910,<=50K
4211,<=50K
16404,<=50K
3826,>50K
8000,>50K
12531,>50K
2747,<=50K
18700,<=50K
20319,<=50K
4670,<=50K
7917,<=50K
18369,<=50K
19859,<=50K
14929,<=50K
10836,>50K
14249,>50K
3814,<=50K
11807,>50K
12480,<=50K
18301,<=50K
13561,<=50K
5185,<=50K
18842,<=50K
27564,<=50K
10151,<=50K
16233,<=50K
27441,<=50K
29278,<=50K
17576,<=50K
12429,>50K
14162,<=50K
563,<=50K
2844,<=50K
12487,<=50K
26647,<=50K
8368,<=50K
16336,<=50K
26278,>50K
2821,>50K
26542,<=50K
19986,<=50K
11552,<=50K
11581,>50K
22248,<=50K
23040,<=50K
24977,>50K
16754,<=50K
3147,<=50K
27507,>50K
15330,<=50K
15998,<=50K
28133,>50K
5184,<=50K
30553,>50K
978,<=50K
9165,>50K
24045,<=50K
7655,<=50K
3152,<=50K
11312,<=50K
4026,>50K
3609,<=50K
23872,<=50K
15169,<=50K
24753,<=50K
23765,<=50K
3619,>50K
12442,>50K
1692,<=50K
22415,<=50K
16215,<=50K
22143,>50K
18721,<=50K
3972,<=50K
19513,<=50K
24289,<=50K
1026,<=50K
24615,<=50K
20515,>50K
7379,<=50K
4415,>50K
6006,<=50K
2440,<=50K
13475,<=50K
624,>50K
26451,<=50K
2128,<=50K
21579,<=50K
12350,>50K
29356,<=50K
29660,<=50K
16923,<=50K
17062,<=50K
20546,<=50K
20987,<=50K
27627,<=50K
30275,<=50K
22863,<=50K
7710,>50K
11427,<=50K
18081,>50K
20402,>50K
16332,<=50K
7607,<=50K
16004,<=50K
25322,<=50K
20560,<=50K
20971,>50K
22950,>50K
11968,<=50K
25517,<=50K
21937,<=50K
3218,>50K
24328,<=50K
28469,<=50K
2251,<=50K
2166,<=50K
2151,<=50K
19138,<=50K
14975,<=50K
29166,<=50K
13662,<=50K
28575,<=50K
1029,<=50K
2048,<=50K
10068,>50K
20202,<=50K
30525,>50K
12889,<=50K
22870,<=50K
14277,<=50K
10459,<=50K
17470,<=50K
17194,<=50K
6092,<=50K
16207,<=50K
27513,<=50K
27006,>50K
4343,<=50K
9342,>50K
17013,<=50K
3100,<=50K
4561,<=50K
25092,<=50K
18531,<=50K
7890,<=50K
22629,<=50K
24589,<=50K
3154,>50K
24640,<=50K
20996,<=50K
7942,<=50K
5330,<=50K
10903,<=50K
6231,>50K
18167,>50K
16981,<=50K
13380,<=50K
22129,<=50K
21925,<=50K
10998,<=50K
7126,<=50K
16760,<=50K
24718,<=50K
27199,>50K
16813,<=50K
4433,>50K
8409,<=50K
12986,<=50K
5799,<=50K
20168,<=50K
24951,>50K
3280,>50K
12867,>50K
18528,<=50K
25311,>50K
15292,<=50K
17335,<=50K
3081,>50K
12160,>50K
13289,<=50K
22058,<=50K
28280,<=50K
25824,>50K
23340,<=50K
976,<=50K
14950,<=50K
2124,>50K
28082,<=50K
28609,>50K
21165,<=50K
11236,<=50K
3729,<=50K
18722,<=50K
2720,<=50K
6899,<=50K
11353,>50K
19193,>50K
26682,>50K
17268,<=50K
12370,>50K
5245,>50K
12060,<=50K
19534,<=50K
12206,<=50K
13115,<=50K
6835,<=50K
8418,<=50K
16978,<=50K
2306,>50K
5892,<=50K
25667,<=50K
10483,<=50K
18855,<=50K
5410,<=50K
11573,<=50K
17864,<=50K
2477,>50K
9749,>50K
23120,<=50K
29023,<=50K
7324,>50K
18435,<=50K
5619,>50K
7570,<=50K
311,<=50K
630,<=50K
11596,<=50K
16438,<=50K
20371,<=50K
19930,<=50K
7939,<=50K
28324,>50K
10086,<=50K
7896,>50K
29113,<=50K
16106,<=50K
29205,<=50K
15178,<=50K
2773,<=50K
9290,<=50K
11606,<=50K
27368,>50K
30021,<=50K
12967,<=50K
14407,<=50K
2602,>50K
17111,<=50K
14336,<=50K
21057,<=50K
17992,>50K
1726,<=50K
25294,>50K
10512,>50K
1122,<=50K
26819,<=50K
27323,<=50K
4858,<=50K
25007,>50K
3160,<=50K
4573,>50K
28023,>50K
21304,<=50K
24386,>50K
17679,<=50K
3630,<=50K
24248,<=50K
10824,<=50K
12099,<=50K
24764,<=50K
3433,>50K
12243,<=50K
30616,<=50K
10909,>50K
1182,>50K
13125,<=50K
28641,<=50K
8917,<=50K
28903,<=50K
10247,<=50K
4091,<=50K
28536,<=50K
25035,<=50K
13080,>50K
25303,<=50K
25573,<=50K
3087,<=50K
23293,<=50K
7894,<=50K
23665,<=50K
6079,<=50K
2784,<=50K
19097,<=50K
21824,<=50K
8631,<=50K
26598,<=50K
23478,<=50K
8649,<=50K
27920,<=50K
29129,<=50K
4563,>50K
23409,<=50K
6794,<=50K
4572,>50K
5180,<=50K
29103,>50K
2771,>50K
1115,>50K
11396,<=50K
11393,<=50K
12424,>50K
17157,<=50K
5604,<=50K
25378,<=50K
30595,>50K
17834,>50K
8707,<=50K
28767,<=50K
14640,<=50K
27834,<=50K
8253,<=50K
10770,<=50K
27956,<=50K
11391,<=50K
23564,<=50K
7871,<=50K
12608,<=50K
25558,>50K
12834,<=50K
12642,>50K
4141,>50K
15695,<=50K
27773,<=50K
927,<=50K
24513,<=50K
15123,>50K
14523,<=50K
14638,<=50K
22507,<=50K
20017,>50K
8786,<=50K
30360,<=50K
8265,<=50K
5455,>50K
16651,<=50K
8925,<=50K
9994,>50K
651,<=50K
17774,<=50K
30700,<=50K
20008,<=50K
24429,<=50K
600,<=50K
28286,<=50K
22102,>50K
18089,<=50K
7068,<=50K
12935,<=50K
20606,<=50K
2986,<=50K
25901,<=50K
11715,<=50K
4129,<=50K
8188,<=50K
4006,<=50K
1270,<=50K
18182,>50K
11293,<=50K
25629,>50K
19199,>50K
17321,>50K
11724,<=50K
1566,<=50K
8931,<=50K
29353,<=50K
15417,<=50K
9954,<=50K
25022,<=50K
21483,>50K
2271,>50K
29393,<=50K
13944,<=50K
24867,>50K
6769,>50K
7097,<=50K
25604,<=50K
23268,<=50K
665,<=50K
30295,>50K
13929,<=50K
11861,<=50K
24677,>50K
4487,>50K
10469,<=50K
15895,<=50K
15449,<=50K
29218,>50K
6902,<=50K
29210,<=50K
21513,<=50K
16043,<=50K
30310,<=50K
10157,<=50K
1204,<=50K
27840,<=50K
9092,<=50K
27631,>50K
24543,<=50K
19616,<=50K
5381,<=50K
9152,<=50K
21064,>50K
27274,<=50K
15823,<=50K
18929,>50K
26552,<=50K
11289,<=50K
1852,<=50K
20177,<=50K
11944,<=50K
20298,<=50K
957,<=50K
2970,<=50K
4033,<=50K
13458,<=50K
21114,<=50K
22858,<=50K
2908,>50K
6408,>50K
18374,<=50K
23576,<=50K
11865,>50K
21272,>50K
22423,<=50K
2807,<=50K
20145,<=50K
15260,>50K
12766,>50K
7474,<=50K
1840,>50K
4786,<=50K
8121,<=50K
7467,<=50K
28600,>50K
8768,<=50K
26896,<=50K
1438,<=50K
2420,<=50K
29987,>50K
25686,>50K
12758,<=50K
18327,<=50K
25606,<=50K
4946,<=50K
13262,<=50K
10380,>50K
15086,>50K
24687,<=50K
22393,<=50K
20989,>50K
19105,>50K
766,>50K
17036,<=50K
17744,<=50K
21038,<=50K
6389,>50K
15575,<=50K
23543,<=50K
18973,<=50K
30669,>50K
28189,>50K
26657,>50K
28195,>50K
18591,<=50K
28932,>50K
17149,<=50K
15971,>50K
18789,<=50K
62,<=50K
6662,<=50K
29615,<=50K
25504,<=50K
6671,<=50K
5496,<=50K
13095,<=50K
25823,<=50K
24591,<=50K
21128,<=50K
14442,<=50K
22051,>50K
14248,>50K
5039,<=50K
20033,<=50K
26342,<=50K
21871,<=50K
5584,>50K
22712,>50K
21988,<=50K
12605,<=50K
159,<=50K
18010,<=50K
4197,<=50K
959,<=50K
25079,>50K
26015,<=50K
16289,<=50K
5251,<=50K
26691,<=50K
5198,>50K
26874,<=50K
758,<=50K
388,<=50K
10846,>50K
27947,<=50K
16472,<=50K
16976,<=50K
18282,>50K
1817,>50K
10660,>50K
27381,>50K
19551,<=50K
3560,<=50K
11431,<=50K
23308,<=50K
19685,>50K
713,>50K
25772,<=50K
26090,>50K
13633,<=50K
20626,>50K
29642,<=50K
19057,>50K
21156,>50K
5770,<=50K
1156,<=50K
26477,>50K
2797,<=50K
28468,<=50K
25246,<=50K
28674,<=50K
12299,<=50K
16823,<=50K
24172,<=50K
21474,<=50K
7020,<=50K
3555,<=50K
27363,<=50K
4755,>50K
27872,<=50K
6159,>50K
29605,>50K
26626,>50K
23558,>50K
19460,<=50K
10127,<=50K
11287,>50K
24414,<=50K
4863,>50K
27967,<=50K
13469,>50K
4968,<=50K
30206,<=50K
25053,<=50K
23178,<=50K
30599,<=50K
1250,<=50K
18448,>50K
7698,<=50K
3529,<=50K
15740,<=50K
21338,>50K
15787,>50K
27691,<=50K
9018,>50K
168,<=50K
21367,<=50K
11116,<=50K
21015,<=50K
24638,<=50K
24792,>50K
6503,>50K
27710,>50K
5320,<=50K
21454,<=50K
29230,>50K
18143,<=50K
22156,<=50K
19302,<=50K
3692,<=50K
13164,>50K
2853,<=50K
12662,<=50K
4897,<=50K
19358,<=50K
12501,<=50K
27258,<=50K
5022,<=50K
27717,<=50K
5933,<=50K
14213,>50K
4292,>50K
2157,<=50K
10881,<=50K
26697,>50K
27895,>50K
3977,>50K
1948,<=50K
14016,<=50K
13756,>50K
3724,<=50K
15701,<=50K
6896,>50K
13266,<=50K
26802,<=50K
28318,<=50K
11846,<=50K
1588,<=50K
1469,<=50K
29394,<=50K
1878,<=50K
7172,<=50K
7441,>50K
9291,<=50K
22135,<=50K
3439,>50K
8857,>50K
18426,<=50K
8552,<=50K
22621,>50K
21241,<=50K
22926,<=50K
29445,<=50K
21607,<=50K
15580,<=50K
21420,<=50K
13747,<=50K
13062,<=50K
14448,>50K
17136,<=50K
8358,<=50K
22031,>50K
15516,<=50K
11092,<=50K
2534,<=50K
6860,>50K
16639,>50K
14846,<=50K
7514,>50K
3205,<=50K
12365,>50K
4862,>50K
24886,>50K
24110,<=50K
22251,>50K
15352,<=50K
27784,<=50K
9578,>50K
25674,<=50K
21795,<=50K
12815,<=50K
5287,<=50K
6719,<=50K
22105,<=50K
14751,<=50K
23882,<=50K
17958,<=50K
16140,<=50K
18633,<=50K
18404,<=50K
16828,<=50K
23030,>50K
1145,>50K
15437,<=50K
23617,>50K
28578,>50K
25859,<=50K
15201,<=50K
18533,<=50K
18148,>50K
9207,<=50K
10733,>50K
28930,<=50K
22949,>50K
13680,<=50K
12541,>50K
16358,<=50K
13742,<=50K
7243,<=50K
21818,<=50K
14323,<=50K
5247,>50K
25864,<=50K
6993,<=50K
573,<=50K
25195,<=50K
15011,<=50K
21492,<=50K
15290,<=50K
16894,<=50K
1296,<=50K
18015,<=50K
15637,<=50K
5602,>50K
265,<=50K
18188,>50K
9453,<=50K
23361,<=50K
9205,<=50K
3174,>50K
24225,<=50K
21917,<=50K
26629,<=50K
25183,<=50K
19735,<=50K
10332,<=50K
15080,<=50K
18749,<=50K
7228,<=50K
3501,<=50K
12101,<=50K
28061,<=50K
14426,>50K
30496,<=50K
29661,<=50K
24778,<=50K
25336,<=50K
18833,>50K
27796,<=50K
25821,<=50K
4741,<=50K
22294,<=50K
24489,<=50K
10408,<=50K
9335,<=50K
21199,>50K
13757,<=50K
11901,<=50K
25186,<=50K
16676,<=50K
28979,<=50K
226,<=50K
24227,<=50K
21275,>50K
18220,<=50K
3923,<=50K
28369,>50K
21972,>50K
21792,<=50K
8062,<=50K
15966,<=50K
22,<=50K
6060,<=50K
17460,<=50K
19213,<=50K
24880,<=50K
405,>50K
15735,<=50K
25213,>50K
8162,<=50K
16909,<=50K
21151,>50K
4802,<=50K
20533,<=50K
11049,<=50K
18742,>50K
9707,<=50K
11509,<=50K
24478,<=50K
11193,<=50K
6429,<=50K
21170,<=50K
17558,<=50K
11586,<=50K
10659,<=50K
3834,<=50K
6245,<=50K
30048,<=50K
8392,>50K
10872,>50K
19445,<=50K
6153,>50K
5838,>50K
11769,<=50K
1636,<=50K
24297,>50K
11519,<=50K
28431,>50K
5872,<=50K
21852,<=50K
11087,<=50K
22068,<=50K
9472,>50K
7208,<=50K
28751,<=50K
28785,<=50K
3990,>50K
308,<=50K
17684,<=50K
27335,>50K
20194,>50K
26155,<=50K
18116,>50K
30271,<=50K
10565,>50K
15994,>50K
23699,<=50K
28433,<=50K
5494,<=50K
21836,<=50K
21056,<=50K
7493,>50K
30396,>50K
28373,<=50K
1705,>50K
16081,<=50K
29897,>50K
328,<=50K
30193,<=50K
12665,<=50K
25609,>50K
28510,<=50K
9546,<=50K
9718,<=50K
14869,>50K
5750,<=50K
1874,<=50K
3162,<=50K
10473,>50K
998,<=50K
10825,<=50K
27445,<=50K
4122,<=50K
12382,<=50K
29599,>50K
8844,<=50K
23629,>50K
14054,<=50K
16775,<=50K
7431,<=50K
2088,<=50K
23512,<=50K
19125,<=50K
21826,<=50K
28572,>50K
1161,>50K
27482,<=50K
27383,>50K
144,<=50K
29627,<=50K
14217,<=50K
11104,<=50K
20603,<=50K
9058,<=50K
12785,<=50K
1883,<=50K
8,>50K
8976,<=50K
17034,<=50K
29619,<=50K
25459,<=50K
23928,<=50K
4688,<=50K
6639,<=50K
13974,>50K
293,>50K
5018,<=50K
21117,<=50K
7870,>50K
23947,<=50K
3857,<=50K
16431,>50K
24084,<=50K
9341,<=50K
18537,<=50K
17409,<=50K
15829,>50K
8278,>50K
12857,>50K
4042,<=50K
15748,>50K
30654,<=50K
27204,>50K
3979,<=50K
19898,<=50K
30077,>50K
11873,<=50K
698,>50K
17808,<=50K
29408,<=50K
27536,<=50K
23454,<=50K
29720,>50K
25068,<=50K
982,>50K
10624,<=50K
5470,<=50K
21274,>50K
14057,>50K
6997,>50K
14541,>50K
5161,<=50K
26376,<=50K
3426,>50K
26501,<=50K
19252,<=50K
1531,<=50K
20723,<=50K
17845,<=50K
28044,<=50K
2663,>50K
25909,<=50K
17343,<=50K
25093,>50K
5873,<=50K
836,>50K
1313,<=50K
6550,>50K
25774,<=50K
13635,<=50K
18478,>50K
2280,<=50K
28251,<=50K
19408,<=50K
23973,<=50K
17821,>50K
5084,<=50K
23104,<=50K
25786,>50K
14401,<=50K
5678,<=50K
15765,<=50K
30416,<=50K
7705,<=50K
9465,<=50K
22630,>50K
180,<=50K
29254,<=50K
30073,<=50K
30258,<=50K
17380,<=50K
3299,<=50K
13317,<=50K
22439,<=50K
12980,<=50K
29973,<=50K
1812,>50K
21098,<=50K
967,<=50K
21717,>50K
12544,<=50K
14391,<=50K
1049,>50K
28308,<=50K
3048,>50K
11070,<=50K
13858,<=50K
21070,>50K
13660,<=50K
23376,<=50K
8716,<=50K
29992,>50K
4302,<=50K
12217,<=50K
1225,<=50K
7290,<=50K
17130,<=50K
11746,<=50K
5803,>50K
16226,<=50K
19392,<=50K
22022,<=50K
12409,<=50K
29890,>50K
12992,>50K
5660,>50K
8390,<=50K
4484,<=50K
13590,<=50K
30712,<=50K
15562,<=50K
8231,>50K
14992,<=50K
5705,<=50K
12093,<=50K
4647,>50K
29436,>50K
12485,>50K
24756,<=50K
20356,<=50K
17096,<=50K
28561,<=50K
6588,<=50K
15652,>50K
20314,<=50K
23605,<=50K
1301,<=50K
9108,<=50K
24963,<=50K
16430,<=50K
18297,<=50K
8629,<=50K
15903,<=50K
13565,<=50K
27146,<=50K
15073,<=50K
23781,<=50K
1100,<=50K
16320,<=50K
8166,<=50K
30624,>50K
9056,<=50K
10455,<=50K
21577,<=50K
5314,<=50K
15055,<=50K
7073,<=50K
20684,>50K
13814,<=50K
19646,>50K
19131,<=50K
21903,>50K
7030,<=50K
3778,<=50K
11492,>50K
4142,<=50K
3944,<=50K
23582,<=50K
15891,>50K
17805,<=50K
18997,>50K
18007,>50K
18672,<=50K
24308,<=50K
26798,>50K
14073,<=50K
15307,<=50K
10781,<=50K
2691,<=50K
14194,<=50K
10440,>50K
22897,<=50K
29581,<=50K
173,<=50K
23833,<=50K
23186,<=50K
21990,<=50K
5078,<=50K
394,<=50K
2553,>50K
22660,<=50K
2980,<=50K
5426,<=50K
24445,<=50K
27540,<=50K
7236,<=50K
23000,<=50K
11779,<=50K
2640,<=50K
7950,>50K
9531,<=50K
7304,<=50K
15195,<=50K
19122,<=50K
27952,<=50K
1586,<=50K
2320,<=50K
12426,<=50K
22346,<=50K
28990,<=50K
9088,<=50K
27679,<=50K
13870,<=50K
15278,<=50K
7157,<=50K
27592,<=50K
29783,<=50K
4867,<=50K
17107,>50K
22771,<=50K
22838,>50K
27589,>50K
25418,>50K
610,>50K
14173,<=50K
18365,<=50K
12162,>50K
730,>50K
21484,>50K
16784,<=50K
4888,<=50K
19839,<=50K
25498,<=50K
21979,<=50K
19294,<=50K
27582,<=50K
18044,>50K
6334,>50K
3018,<=50K
2293,<=50K
26958,>50K
27979,<=50K
15696,<=50K
15283,<=50K
24213,<=50K
2674,>50K
2952,>50K
25780,<=50K
2829,>50K
8341,<=50K
24331,<=50K
24698,>50K
12069,<=50K
17966,<=50K
7419,<=50K
21007,<=50K
1366,<=50K
23853,<=50K
11146,<=50K
29171,<=50K
30122,<=50K
14221,>50K
19786,<=50K
20871,<=50K
24018,<=50K
7115,<=50K
10407,<=50K
16616,<=50K
7694,<=50K
20108,<=50K
19571,<=50K
4502,<=50K
23519,<=50K
11659,<=50K
23892,<=50K
15911,<=50K
992,>50K
29721,<=50K
19798,>50K
4691,<=50K
24925,<=50K
17415,>50K
2796,<=50K
21554,<=50K
22760,<=50K
23250,<=50K
15515,<=50K
7983,<=50K
14728,<=50K
21471,<=50K
12171,<=50K
20974,<=50K
27608,>50K
6880,<=50K
2635,<=50K
23632,<=50K
22028,<=50K
15126,<=50K
6385,<=50K
30516,<=50K
28758,<=50K
7395,<=50K
7286,>50K
24180,>50K
26391,<=50K
26676,<=50K
11815,<=50K
22639,>50K
3046,<=50K
9448,<=50K
5241,>50K
19651,<=50K
10214,<=50K
6293,>50K
1799,<=50K
8538,<=50K
8609,<=50K
17630,>50K
21093,<=50K
18424,<=50K
12234,<=50K
26899,<=50K
27889,>50K
17154,<=50K
6927,<=50K
14815,<=50K
21234,<=50K
28927,<=50K
10546,>50K
11200,<=50K
13501,<=50K
10684,<=50K
8050,<=50K
17642,<=50K
15096,<=50K
2111,>50K
10899,<=50K
2461,<=50K
5261,<=50K
24964,<=50K
17026,<=50K
21332,<=50K
21330,<=50K
23080,>50K
15368,>50K
24089,<=50K
6344,<=50K
29373,>50K
18675,<=50K
9180,<=50K
16359,>50K
6658,>50K
25455,<=50K
393,<=50K
9672,<=50K
10638,<=50K
16344,>50K
4622,>50K
1444,<=50K
17822,<=50K
20296,<=50K
7106,>50K
21686,<=50K
12419,<=50K
13827,<=50K
30632,>50K
15881,<=50K
15483,>50K
685,<=50K
28581,<=50K
15659,>50K
28216,<=50K
4317,<=50K
23472,<=50K
11227,>50K
15289,>50K
22722,<=50K
30542,>50K
19148,<=50K
28284,>50K
30531,<=50K
26293,<=50K
30653,<=50K
20988,<=50K
12721,<=50K
14276,>50K
13024,<=50K
3463,<=50K
15447,<=50K
14293,<=50K
14329,>50K
27896,<=50K
1722,<=50K
22485,<=50K
16939,<=50K
27860,<=50K
11734,<=50K
14834,<=50K
14892,<=50K
14991,<=50K
20898,>50K
29433,<=50K
3073,<=50K
1321,<=50K
26965,>50K
14619,>50K
28092,>50K
9471,>50K
19130,<=50K
16386,<=50K
9340,<=50K
6019,>50K
25211,<=50K
22257,<=50K
28383,<=50K
15048,<=50K
11634,>50K
8212,<=50K
29338,<=50K
15634,>50K
23614,>50K
29891,>50K
10047,<=50K
29350,<=50K
29245,<=50K
2352,<=50K
14549,>50K
27525,<=50K
8964,<=50K
22323,<=50K
24417,<=50K
2522,<=50K
14400,<=50K
29691,<=50K
432,<=50K
22514,>50K
17602,<=50K
19834,<=50K
23290,<=50K
8877,<=50K
21047,>50K
24292,<=50K
15344,<=50K
26770,>50K
3497,>50K
5069,<=50K
13120,<=50K
3685,<=50K
26879,<=50K
12783,<=50K
177,<=50K
14227,<=50K
20767,<=50K
20040,<=50K
793,<=50K
9950,>50K
14146,>50K
25184,<=50K
12932,<=50K
25906,<=50K
3638,>50K
17102,<=50K
13514,<=50K
24588,<=50K
26459,<=50K
9653,<=50K
9303,<=50K
825,<=50K
28451,>50K
17208,<=50K
30228,<=50K
9235,<=50K
8616,<=50K
6423,<=50K
20253,>50K
2938,<=50K
25510,<=50K
1087,<=50K
6518,<=50K
19110,>50K
7348,<=50K
15828,<=50K
21016,<=50K
3572,<=50K
10748,<=50K
18114,<=50K
29314,<=50K
9485,<=50K
10070,<=50K
20433,>50K
13333,<=50K
2370,<=50K
17019,<=50K
13134,<=50K
19874,<=50K
23855,<=50K
22729,<=50K
19058,<=50K
14223,<=50K
1003,<=50K
28717,<=50K
28746,<=50K
30405,>50K
5989,>50K
23735,>50K
5117,<=50K
4004,<=50K
2414,>50K
9989,<=50K
2705,<=50K
25574,<=50K
9231,<=50K
12039,<=50K
19300,<=50K
6333,<=50K
1118,<=50K
2474,<=50K
13265,<=50K
21348,<=50K
11824,<=50K
16972,<=50K
12457,<=50K
27361,>50K
6166,<=50K
2880,>50K
14184,<=50K
14452,<=50K
26591,>50K
4923,<=50K
23067,<=50K
28371,<=50K
26723,<=50K
1869,>50K
19996,<=50K
875,>50K
23654,<=50K
19150,>50K
30589,<=50K
8110,<=50K
3138,<=50K
12392,<=50K
29225,>50K
7329,<=50K
26901,<=50K
22263,>50K
23789,<=50K
15730,>50K
17112,>50K
24748,>50K
999,>50K
19719,<=50K
28503,<=50K
27737,<=50K
2033,<=50K
16267,<=50K
4914,<=50K
21077,<=50K
23470,<=50K
8753,<=50K
30418,<=50K
13546,>50K
27130,<=50K
24517,<=50K
6815,>50K
25192,<=50K
29935,<=50K
28002,<=50K
9886,<=50K
11626,>50K
12885,<=50K
10562,<=50K
2083,<=50K
27413,<=50K
22723,<=50K
27116,<=50K
11961,<=50K
21652,<=50K
1667,<=50K
27326,<=50K
7124,<=50K
29108,<=50K
26700,<=50K
11046,<=50K
10549,<=50K
6409,<=50K
12530,<=50K
28914,>50K
10003,<=50K
16328,<=50K
24645,<=50K
16744,<=50K
14416,>50K
7845,<=50K
20520,<=50K
19535,<=50K
3403,<=50K
30502,>50K
15037,<=50K
26821,<=50K
17529,>50K
8665,>50K
2437,<=50K
9666,<=50K
15658,<=50K
13292,<=50K
23662,<=50K
26292,>50K
6176,>50K
13112,<=50K
7971,>50K
27189,>50K
14724,<=50K
1922,>50K
8085,>50K
8099,<=50K
4974,<=50K
3173,>50K
20294,<=50K
20307,>50K
9281,<=50K
16704,<=50K
25423,<=50K
3871,<=50K
7155,<=50K
19911,<=50K
8460,>50K
14938,>50K
20757,<=50K
28125,<=50K
7370,>50K
8969,<=50K
15124,<=50K
18703,<=50K
5922,<=50K
22694,>50K
5013,<=50K
18896,<=50K
10475,>50K
19196,>50K
20886,>50K
21977,>50K
12036,<=50K
10561,<=50K
9654,<=50K
19901,<=50K
13706,<=50K
19836,<=50K
20232,<=50K
15490,<=50K
3129,<=50K
27761,<=50K
7070,<=50K
26240,<=50K
30436,<=50K
30002,<=50K
21562,>50K
1609,<=50K
10808,>50K
15716,>50K
3647,<=50K
7952,<=50K
4954,<=50K
17125,<=50K
3481,>50K
8720,<=50K
2921,<=50K
23667,>50K
3639,<=50K
14898,<=50K
17908,<=50K
1820,<=50K
2082,<=50K
29715,<=50K
5995,<=50K
26606,<=50K
17522,>50K
18654,<=50K
13429,>50K
15916,<=50K
20201,<=50K
17450,>50K
22030,>50K
2726,<=50K
14222,<=50K
9388,<=50K
24613,<=50K
11827,<=50K
2302,<=50K
19001,<=50K
30063,<=50K
28006,<=50K
12043,<=50K
26742,<=50K
19140,<=50K
27200,<=50K
14120,<=50K
14282,<=50K
4630,<=50K
7429,<=50K
27955,>50K
7528,<=50K
26967,<=50K
565,>50K
2349,<=50K
19022,<=50K
11826,>50K
26350,<=50K
27311,>50K
707,<=50K
28351,<=50K
7783,<=50K
18344,<=50K
7251,<=50K
22047,<=50K
16063,<=50K
10570,>50K
27724,<=50K
28202,<=50K
118,>50K
1847,<=50K
15350,>50K
19017,<=50K
16417,<=50K
4654,<=50K
24217,<=50K
5343,>50K
3931,>50K
1104,<=50K
1236,<=50K
11854,<=50K
12371,<=50K
26573,<=50K
3285,<=50K
21572,<=50K
28471,<=50K
27312,<=50K
23883,<=50K
15997,<=50K
24538,<=50K
24522,<=50K
5586,<=50K
28955,<=50K
24296,<=50K
23056,>50K
12494,<=50K
11947,<=50K
7492,<=50K
26294,>50K
3430,>50K
10970,>50K
11473,<=50K
700,<=50K
19739,<=50K
30451,<=50K
22906,>50K
4112,>50K
5488,<=50K
26756,<=50K
20769,<=50K
21671,<=50K
798,<=50K
17049,>50K
983,<=50K
201,<=50K
20711,<=50K
1604,<=50K
7239,>50K
21664,<=50K
1386,>50K
24013,<=50K
18465,<=50K
19619,<=50K
5581,<=50K
12767,<=50K
93,>50K
25434,>50K
22872,<=50K
22319,<=50K
30195,>50K
24492,>50K
3275,>50K
810,<=50K
17985,<=50K
25867,<=50K
443,>50K
3873,<=50K
22161,<=50K
3890,>50K
29773,<=50K
11810,<=50K
155,>50K
8842,<=50K
3920,<=50K
22772,>50K
6241,>50K
8941,<=50K
1490,>50K
9542,<=50K
7347,<=50K
15807,<=50K
28909,<=50K
10188,>50K
22326,<=50K
22417,<=50K
2366,<=50K
4663,<=50K
517,<=50K
1713,<=50K
14273,<=50K
2259,<=50K
30162,<=50K
28314,>50K
27836,<=50K
10655,<=50K
2104,>50K
10952,<=50K
9840,<=50K
7523,<=50K
25117,<=50K
18791,<=50K
1871,>50K
16766,>50K
6422,<=50K
14214,>50K
7411,<=50K
28563,<=50K
18718,<=50K
18047,<=50K
8866,>50K
15546,<=50K
24789,<=50K
19452,<=50K
30507,<=50K
3594,<=50K
6739,<=50K
22195,<=50K
7604,>50K
28693,<=50K
20824,<=50K
10095,<=50K
18000,<=50K
5486,<=50K
22004,>50K
11212,<=50K
25413,>50K
4943,<=50K
15399,>50K
14466,<=50K
11171,<=50K
8956,<=50K
30244,<=50K
7587,<=50K
22703,<=50K
28916,>50K
22601,<=50K
4520,<=50K
9321,<=50K
28430,<=50K
6718,<=50K
4907,<=50K
16963,<=50K
10754,<=50K
21742,<=50K
26495,>50K
23778,>50K
12716,<=50K
15861,<=50K
29152,>50K
10580,<=50K
13774,<=50K
5050,>50K
30668,<=50K
1484,<=50K
5594,<=50K
3459,<=50K
18799,<=50K
21950,>50K
30069,<=50K
16545,<=50K
18427,<=50K
5516,<=50K
16179,<=50K
16566,>50K
5189,<=50K
12213,>50K
11186,<=50K
26947,<=50K
25061,<=50K
1230,<=50K
7676,<=50K
7187,<=50K
25776,<=50K
11278,>50K
9036,<=50K
8295,<=50K
2967,<=50K
18766,<=50K
18509,<=50K
2895,>50K
16763,<=50K
14714,<=50K
3586,<=50K
4578,>50K
19195,<=50K
10695,<=50K
15532,<=50K
19750,<=50K
7332,<=50K
22620,>50K
5402,<=50K
30150,>50K
1591,<=50K
19428,<=50K
19747,>50K
25693,>50K
28624,<=50K
6121,<=50K
20121,<=50K
10141,<=50K
9754,<=50K
11633,<=50K
5630,<=50K
10887,<=50K
29578,<=50K
